title,director1,director2,domestic,distributor,release,genre,runtime,rating,budget,worldwide,actor1,actor2,actor3,actor4,actor5,actor6,producer1,producer2,producer3,producer4,producer5,producer6,writer1,writer2,composer1,composer2
1898: Los ultimos de Filipinas,N/A,N/A,"$2,900",Sony / Columbia,"March 3, 2017",War Drama,1 hrs. 45 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1995 Bugs Bunny Film Festival,N/A,N/A,"$40,700",Warner Bros.,"May 5, 1995",Animation,N/A,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1998 Bugs Bunny Film Festival,N/A,N/A,"$795,300",Warner Bros.,"February 13, 1998",Animation,N/A,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"2 Autumns, 3 Winters",N/A,N/A,"$6,300",Film Movement,"June 6, 2014",Foreign,1 hrs. 31 min.,Unrated,N/A,"$5,819",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
200 Cartas,N/A,N/A,"$10,100",Vanguardia Films,"June 14, 2013",Romantic Comedy,1 hrs. 37 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2001: A Space Odyssey (2013 re-release),N/A,N/A,"$244,100",Warner Bros.,"January 2, 2013",Sci-Fi Adventure,N/A,G,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2001: A Space Odyssey (2014 re-release),N/A,N/A,"$149,600",Warner Bros.,2014,Sci-Fi,2 hrs. 29 min.,G,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2001: A Space Odyssey (2018 re-release),N/A,N/A,"$3,245,200",Warner Bros.,"May 18, 2018",Sci-Fi,2 hrs. 29 min.,G,N/A,"$60,541,301",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2001: A Space Odyssey (Re-issue),N/A,N/A,"$382,300",Warner Bros.,"October 5, 2001",Unknown,2 hrs. 28 min.,G,N/A,"$63,735,950",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The 2006 Academy Award Nominated Short Films,N/A,N/A,"$439,800",Magnolia,"February 16, 2007",Unknown,3 hrs. 9 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
