title,director1,director2,domestic,distributor,release,genre,runtime,rating,budget,worldwide,actor1,actor2,actor3,actor4,actor5,actor6,producer1,producer2,producer3,producer4,producer5,producer6,writer1,writer2,composer1,composer2
Daughters of the Dust (2016 re-release),N/A,N/A,"$42,100",Cohen Media Group,"November 18, 2016",Drama,1 hrs. 53 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
David &amp; Layla,N/A,N/A,"$157,600","David &amp; Layla, LLC","July 20, 2007",Romance,1 hrs. 48 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Dawn Wall (Fathom),N/A,N/A,"$986,100",Fathom,"September 19, 2018",Documentary,1 hrs. 40 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Day Night / Day Night,N/A,N/A,"$41,800",IFC,"May 9, 2007",Drama,1 hrs. 34 min.,Unrated,N/A,"$35,933",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Day the Earth Stood Still (2008),Scott Derrickson,N/A,"$98,703,400",Fox,"December 12, 2008",Sci-Fi,1 hrs. 50 min.,PG-13,$80 million,"$233,093,859",Keanu Reeves,Jennifer Connelly,Kathy Bates,Jaden Smith,Jon Hamm,Brandon T. Jackson*,Paul Harris Boardman,Erwin Stoff,N/A,N/A,N/A,N/A,N/A,N/A,Tyler Bates,N/A
Daylight (2011),N/A,N/A,"$4,700",Cinema Purgatorio,"July 15, 2011",Horror Thriller,1 hrs. 14 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Days of Nick Drake,N/A,N/A,"$27,000",Roxie,"May 17, 2002",Unknown,0 hrs. 48 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DCI 2017 Tour Premeire,N/A,N/A,"$472,000",Fathom,"June 22, 2017",Documentary,2 hrs. 0 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"DCI 2018: Big, Loud &amp; Live 15",N/A,N/A,"$617,000",Fathom,"August 9, 2018",Unknown,5 hrs. 15 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DCI 2018: Tour Premiere,N/A,N/A,"$417,800",Fathom,"June 21, 2018",Unknown,2 hrs. 0 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
De Mai Tinh (Fool for Love),N/A,N/A,"$192,300",Variance Films,"September 10, 2010",Foreign,1 hrs. 40 min.,PG-13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dead Alive,Peter Jackson,N/A,"$529,200",Trimark,"February 12, 1993",Unknown,1 hrs. 40 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Fran Walsh,N/A,N/A,N/A
Dead Awake (2017),N/A,N/A,"$11,600",FilmRise,"May 12, 2017",Horror Thriller,1 hrs. 40 min.,Unrated,N/A,"$11,528",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Deadfall (2012),N/A,N/A,"$74,500",Magnolia,"December 7, 2012",Crime,1 hrs. 34 min.,R,N/A,"$66,351",Eric Bana,Olivia Wilde,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Marco Beltrami,N/A
Dealt,N/A,N/A,"$29,900",IFC,"October 20, 2017",Documentary,1 hrs. 25 min.,Not Yet Rated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Death at a Funeral (2007),Frank Oz,N/A,"$11,261,700",MGM,"August 17, 2007",Comedy / Drama,1 hrs. 30 min.,R,$9 million,"$46,789,413",N/A,N/A,N/A,N/A,N/A,N/A,Sidney Kimmel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Death at a Funeral (2010),Neil LaBute,N/A,"$48,983,900",Sony / Screen Gems,"April 16, 2010",Comedy,1 hrs. 30 min.,R,$21 million,"$49,050,886",Chris Rock,Martin Lawrence,Tracy Morgan,Danny Glover,Regina Hall,Zoe Saldana,Sidney Kimmel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Christophe Beck,N/A
The Death Factory Bloodletting,N/A,N/A,"$5,600",Nocturnal Features,"May 15, 2009",Horror,1 hrs. 29 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Death Wish (2018),Eli Roth,N/A,"$33,513,100",MGM,"March 2, 2018",Action / Crime,1 hrs. 47 min.,R,$30 million,"$34,017,028",Bruce Willis,Dean Norris,N/A,N/A,N/A,N/A,Roger Birnbaum,N/A,N/A,N/A,N/A,N/A,Joe Carnahan,N/A,Ludwig Goransson,N/A
The Decalogue,N/A,N/A,"$992,500",New Yorker,"June 9, 2000",Unknown,N/A,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
A Decent Factory,N/A,N/A,"$11,200",Icarus Films,"June 29, 2005",Documentary,1 hrs. 19 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Decent One,N/A,N/A,"$23,400",Kino Lorber,"October 1, 2014",Documentary,1 hrs. 34 min.,Unrated,N/A,"$21,327",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Deception (1993),N/A,N/A,"$1,328,000",Miramax,"October 29, 1993",Thriller,1 hrs. 30 min.,PG-13,N/A,N/A,Liam Neeson,Viggo Mortensen,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Deception (2008),N/A,N/A,"$5,783,400",Fox,"April 25, 2008",Thriller,1 hrs. 48 min.,R,N/A,"$17,741,298",Hugh Jackman,Ewan McGregor,Michelle Williams,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mark Bomback,N/A,Ramin Djawadi,N/A
Decline of the American Empire,N/A,N/A,"$4,631,100",Cineplex Odeon,"November 14, 1986",Unknown,1 hrs. 42 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Deep Sea 3D (IMAX),N/A,N/A,"$59,797,400",Warner Bros.,"March 3, 2006",IMAX,0 hrs. 40 min.,G,N/A,"$97,581,402",Johnny Depp*,Kate Winslet*,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Danny Elfman,N/A
Deitrick Haddon's A Beautiful Soul,N/A,N/A,"$61,600",Tyscot Manhaddon &amp; Releve,"May 4, 2012",Drama,1 hrs. 30 min.,PG-13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Deja Vu (1998),N/A,N/A,"$2,091,300",Rainbow Releasing,"April 24, 1998",Romance,1 hrs. 57 min.,PG-13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dekalog (2016 re-release),N/A,N/A,"$112,500",Janus Films,"September 2, 2016",Drama,9 hrs. 43 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Delhi 6,N/A,N/A,"$1,106,600",UTV Communications,"February 20, 2009",Foreign,2 hrs. 20 min.,Unrated,N/A,"$13,125,579",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Delirious (1991),N/A,N/A,"$11,897,400",MGM,"August 9, 1991",Comedy,1 hrs. 36 min.,PG,$18 million,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cliff Eidelman,N/A
Delirious (2007),Tom DiCillo,N/A,"$113,500",Peace Arch Entertainment,"August 15, 2007",Drama,1 hrs. 47 min.,Unrated,N/A,"$659,589",David Wain,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Tom DiCillo,N/A,N/A,N/A
Deliver Us from Evil (2006),Ole Bornedal,N/A,"$277,500",Lionsgate,"October 13, 2006",Documentary,1 hrs. 41 min.,Unrated,N/A,"$327,205",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ole Bornedal,N/A,N/A,N/A
Delta Force 2: Operation Stranglehold,N/A,N/A,"$14,299,300",MGM,"August 24, 1990",Action,1 hrs. 51 min.,R,N/A,N/A,Chuck Norris,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Demi-Soeur,N/A,N/A,"$1,100",Rialto,"February 7, 2014",Foreign,1 hrs. 26 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Demon Knight,Ernest R. Dickerson,N/A,"$43,778,200",Universal,"January 13, 1995",Horror,1 hrs. 33 min.,R,N/A,N/A,Jada Pinkett-Smith,Thomas Haden Church,N/A,N/A,N/A,N/A,Gilbert Adler,David Giler*,Walter Hill*,Joel Silver,N/A,N/A,N/A,N/A,Ed Shearmur,N/A
Der Schuh des Manitu,N/A,N/A,N/A,Unknown,N/A,Unknown,N/A,Unrated,N/A,"$64,300,000",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Desert Dancer,N/A,N/A,"$162,800",Relativity,"April 10, 2015",Drama,1 hrs. 38 min.,PG-13,N/A,"$155,271",Freida Pinto,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Deserted Station,N/A,N/A,"$27,100",First Run,"July 2, 2004",Foreign,1 hrs. 28 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Desperate Hours (1990),Michael Cimino,N/A,"$5,855,400",MGM,"October 5, 1990",Thriller,1 hrs. 45 min.,R,N/A,N/A,Mickey Rourke,Anthony Hopkins,N/A,N/A,N/A,N/A,Michael Cimino,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Detective Byomkesh Bakshy,N/A,N/A,"$607,300",Yash Raj,"April 3, 2015",Thriller,2 hrs. 15 min.,Unrated,N/A,"$579,055",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Detective Chinatown (Tang ren jie tan an),N/A,N/A,"$499,100",China Lion,"January 15, 2016",Foreign,2 hrs. 16 min.,Unrated,N/A,"$125,842,935",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Detour (2018 re-release),N/A,N/A,"$16,200",Janus Films,"November 30, 2018",Drama / Thriller,1 hrs. 8 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Detroit 9000 (Re-issue),N/A,N/A,"$6,100",Rolling Thunder,"October 9, 1998",Unknown,1 hrs. 46 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dev D,N/A,N/A,"$22,500",UTV Communications,"February 6, 2009",Foreign,2 hrs. 10 min.,Unrated,N/A,"$4,047,969",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Devil and Angel (E Gun Tian Shi),N/A,N/A,"$137,900",China Lion,"December 31, 2015",Comedy,2 hrs. 5 min.,Unrated,N/A,"$98,599,942",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"The Devil, Probably (2012 re-release)",N/A,N/A,"$30,300",The Film Desk,"January 13, 2012",Foreign,1 hrs. 35 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dha Dkan,N/A,N/A,"$76,000",Eros,"August 11, 2000",Unknown,N/A,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dhan Dhana Dhana Goal,N/A,N/A,"$164,800",UTV Communications,"November 21, 2007",Foreign,2 hrs. 25 min.,Unrated,N/A,"$7,415,972",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dhobi Ghat (Mumbai Diaries),N/A,N/A,"$662,500",UTV Communications,"January 21, 2011",Foreign,1 hrs. 40 min.,Unrated,N/A,"$678,715",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Diabolique (1996),N/A,N/A,"$34,935,600",Warner Bros.,"March 22, 1996",Thriller,1 hrs. 47 min.,R,N/A,N/A,Sharon Stone,Kathy Bates,N/A,N/A,N/A,N/A,Gary Barber,James G. Robinson,N/A,N/A,N/A,N/A,Don Roos,N/A,Randy Edelman,N/A
Dial 'M' for Murder (Re-issue),N/A,N/A,"$22,300",Warner Bros.,"April 9, 1999",Thriller,1 hrs. 45 min.,PG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Diamond's Edge,N/A,N/A,"$27,200",Castle Hill,"November 30, 1990",Unknown,1 hrs. 23 min.,PG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Trevor Jones,N/A
Diary of a Country Priest (2011 re-release),N/A,N/A,"$53,700",Rialto,"February 25, 2011",Foreign,1 hrs. 55 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dice Rules,N/A,N/A,"$1,367,000",7th Art,"May 17, 1991",Concert,1 hrs. 28 min.,NC-17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Die Hard 2: Die Harder,Renny Harlin,N/A,"$250,920,700",Fox,"July 6, 1990",Action Thriller,2 hrs. 4 min.,R,$70 million,"$240,031,094",Bruce Willis,John Leguizamo*,N/A,N/A,N/A,N/A,Lawrence Gordon,Lloyd Levin,Joel Silver,N/A,N/A,N/A,N/A,N/A,Michael Kamen,N/A
Die Mommie Die!,N/A,N/A,"$479,300",Sundance Film Series,"October 31, 2003",Unknown,1 hrs. 34 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Digging Up the Marrow,N/A,N/A,"$12,200",Hacienda,"February 12, 2015",Fantasy Drama,1 hrs. 28 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Digimon Adventure tri.,N/A,N/A,"$201,900",Eleven Arts,"September 15, 2016",Animation,1 hrs. 36 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Digimon Adventure Tri. 4: Loss,N/A,N/A,"$58,300",Fathom,"February 1, 2018",Animation,1 hrs. 22 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Digimon Adventure Tri. 5: Coexistence,N/A,N/A,"$50,400",Fathom,"May 10, 2018",Animation,1 hrs. 29 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Digimon Adventure Tri. 6: Future,N/A,N/A,"$55,600",Fathom,"September 20, 2018",Animation,2 hrs. 0 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dil Bole Hadippa! (My Heart Goes Hooray),N/A,N/A,"$810,000",Yash Raj,"September 18, 2009",Foreign,N/A,Unrated,N/A,"$1,128,211",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dil Jo Bhi Kahe,N/A,N/A,"$182,200",Eros,"September 23, 2005",Foreign,N/A,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dil Ka Rishtaa,N/A,N/A,"$517,600",Tips,"January 17, 2003",Unknown,N/A,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dior and I,N/A,N/A,"$1,084,600",The Orchard,"April 10, 2015",Documentary,1 hrs. 30 min.,Unrated,N/A,"$1,028,953",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dirty Dancing (Fathom Event),N/A,N/A,"$623,000",Fathom,"February 10, 2019",Romance,1 hrs. 45 min.,PG-13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dirty Dancing (Re-issue),N/A,N/A,"$999,200",Live,"August 22, 1997",Unknown,1 hrs. 45 min.,PG-13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Disappearance of Eleanor Rigby,Ned Benson,N/A,"$649,600",Weinstein Company,"September 12, 2014",Drama,2 hrs. 2 min.,R,N/A,"$985,007",Jessica Chastain,James McAvoy,William Hurt,Viola Davis,N/A,N/A,Ned Benson,N/A,N/A,N/A,N/A,N/A,Ned Benson,N/A,N/A,N/A
Disney Junior HalloVeen Party,N/A,N/A,"$353,900",Fathom,"October 21, 2017",Animation,1 hrs. 0 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Disney's Christopher Robin,Marc Forster,N/A,"$101,416,700",Buena Vista,"August 3, 2018",Fantasy,1 hrs. 44 min.,PG,$75 million,"$197,743,238",Ewan McGregor,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Tom McCarthy,Alex Ross Perry,Jon Brion,Geoff Zanelli
Disney's The Kid,Jon Turteltaub,N/A,"$116,756,600",Buena Vista,"July 7, 2000",Fantasy Comedy,1 hrs. 44 min.,PG,$65 million,"$110,317,580",Bruce Willis,Lily Tomlin,Melissa McCarthy*,N/A,N/A,N/A,Hunt Lowry,N/A,N/A,N/A,N/A,N/A,Audrey Wells,N/A,Marc Shaiman,N/A
"Distant Voices, Still Lives (2018 reissue)",N/A,N/A,"$5,400",Arrow Films,"August 31, 2018",Unknown,1 hrs. 24 min.,PG-13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
District B13: Ultimatum,N/A,N/A,"$41,100",Magnolia,"February 5, 2010",Action,1 hrs. 35 min.,R,N/A,"$52,289",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Luc Besson,N/A,N/A,N/A
Diva (re-issue),N/A,N/A,"$140,600",Rialto,"November 2, 2007",Foreign,2 hrs. 3 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Divergent Series: Allegiant,Robert Schwentke,N/A,"$69,374,500",Lionsgate/Summit,"March 18, 2016",Action / Adventure,2 hrs. 1 min.,PG-13,N/A,"$179,246,868",Ansel Elgort,Theo James,Octavia Spencer,Ray Stevenson,Miles Teller,Naomi Watts,Lucy Fisher,Douglas Wick,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Divergent Series: Insurgent,Robert Schwentke,N/A,"$140,663,200",Lionsgate/Summit,"March 20, 2015",Action / Adventure,1 hrs. 59 min.,PG-13,$110 million,"$297,276,329",Shailene Woodley,Theo James,Kate Winslet,Octavia Spencer,Jai Courtney,Ray Stevenson,Neil Burger,Lucy Fisher,David Hoberman,Douglas Wick,N/A,N/A,Mark Bomback,Brian Duffield,N/A,N/A
Divine Intervention (2003),N/A,N/A,"$631,000",Avatar,"January 17, 2003",Unknown,1 hrs. 32 min.,Unrated,N/A,"$421,343",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Divine Intervention (2007),N/A,N/A,"$2,000",Bullz Eye Productions,"November 30, 2007",Comedy / Drama,1 hrs. 40 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Django (2012 re-release),N/A,N/A,"$29,300",Rialto,"December 21, 2012",Foreign,1 hrs. 31 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Do You Wanna Dance?,N/A,N/A,"$5,700",Ellinas Prods.,"April 16, 1999",Unknown,N/A,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Doctor Benny,N/A,N/A,"$5,500",Outrider,"May 2, 2003",Unknown,N/A,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Doctor Who: New Season Premiere,N/A,N/A,"$82,700",Fathom,"October 10, 2018",Sci-Fi,1 hrs. 30 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dog Days (2018),N/A,N/A,"$6,963,300",LD Entertainment,"August 8, 2018",Comedy,1 hrs. 52 min.,PG,N/A,N/A,Vanessa Hudgens,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Dogwalker,N/A,N/A,"$6,300",Truly Indie,"September 8, 2006",Drama,1 hrs. 39 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Dogwalker (2002),N/A,N/A,"$11,500",Outrider,"September 13, 2002",Comedy,1 hrs. 45 min.,Unrated,"$425,000",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Doin' Time on Planet Earth,N/A,N/A,"$65,000",Cannon Films,"September 16, 1988",Sci-Fi Comedy,1 hrs. 25 min.,PG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dolphins and Whales: Tribes of the Ocean 3D,N/A,N/A,"$9,528,500",3D Entertainment,"February 15, 2008",IMAX,0 hrs. 42 min.,Unrated,N/A,"$8,808,659",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Domain (2012),N/A,N/A,"$8,100",Strand,"January 13, 2012",Foreign,N/A,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Don Carlo at La Scala,N/A,N/A,"$35,000",Emerging Pictures,"December 5, 2008",Concert,N/A,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Don Juan de Marco,N/A,N/A,"$45,981,300",New Line,"April 7, 1995",Romantic Comedy,1 hrs. 37 min.,PG-13,$25 million,"$68,792,531",Marlon Brando,Johnny Depp,N/A,N/A,N/A,N/A,Michael De Luca,Jeffrey Silver,N/A,N/A,N/A,N/A,Jeremy Leven,N/A,Michael Kamen,N/A
Don't Blink - Robert Frank,N/A,N/A,"$80,300",Grasshopper Film,"July 15, 2016",Documentary,1 hrs. 22 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Don't Stop Believin': Everyman's Journey,N/A,N/A,"$69,100",Cinedigm Entertainment,"March 8, 2013",Documentary,1 hrs. 45 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Don't Worry He Won't Get Far on Foot,Gus Van Sant,N/A,"$1,474,400",Amazon Studios,"July 13, 2018",Comedy / Drama,1 hrs. 53 min.,R,N/A,"$3,936,619",Joaquin Phoenix,Jonah Hill,Rooney Mara,Jack Black,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Gus Van Sant,N/A,Danny Elfman,N/A
Donnie Darko (2017 Re-Release),N/A,N/A,"$209,800",Arrow Films,"March 31, 2017",Sci-Fi,1 hrs. 53 min.,R,N/A,N/A,Drew Barrymore,Jake Gyllenhaal,Jena Malone,Patrick Swayze,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Donnie Darko: The Director's Cut,N/A,N/A,"$1,095,200",Newmarket,"June 2, 2004",Fantasy Drama,2 hrs. 13 min.,R,N/A,"$1,798,120",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dorm Daze,N/A,N/A,"$84,100",120 Degree Films,"September 24, 2003",Unknown,1 hrs. 37 min.,R,N/A,"$56,127",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
