budget,action,adventure,fantasy,science fiction,comedy,crime,drama,mystery,thriller,romance,war,horror,animation,family,western,history,music,tv movie,documentary,foreign,id,popularity,production_companies,production_countries,weekday,day,month,year,revenue,runtime,title,vote_average,vote_count,weighted_rating
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,277355,5.633,5,1,5,23,1,2015,0,90,Everly,5.2,309,6.978023627958433
10000000,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,146301,8.447,2,1,3,21,10,2015,78096553,88,Paranormal Activity: The Ghost Dimension,5.2,735,6.948591412473286
15000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,294016,5.193,3,1,2,27,10,2015,8235661,124,Trumbo,7.2,828,7.00641164627536
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309245,5.358,2,2,5,14,8,2015,2500431,84,Mistress America,6.5,293,6.99420788360416
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,245706,7.246,3,1,5,17,4,2015,4719695,100,True Story,6.2,800,6.975193798449612
0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,263109,7.588,3,2,4,05,2,2015,59700000,85,Shaun the Sheep Movie,6.9,666,6.997405127405907
11000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,157827,5.104,3,5,1,18,5,2015,161789,109,Louder Than Bombs,6.6,145,6.99769337840525
0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,321751,6.435,3,1,5,28,8,2015,1702433,106,A Perfect Day,6.6,309,6.995116361768541
0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,193687,6.024,6,4,4,13,8,2015,121461,97,Z for Zachariah,5.6,454,6.975029464917106
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300803,7.095,1,1,2,24,2,2015,0,97,Dragonheart 3: The Sorcerer's Curse,4.8,118,6.989664782227885
6000000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,328589,6.848,2,1,5,13,11,2015,41387687,104,The Lady in the Van,6.2,357,6.988736837954018
0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,378373,4.564,1,1,4,24,12,2015,0,98,Brothers of the Wind,7,60,7.0
1800000,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,294963,8.497,4,1,5,23,10,2015,0,132,Bone Tomahawk,6.7,835,6.990303851364429
19000000,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,245698,8.191,2,1,3,16,9,2015,5578519,115,Pawn Sacrifice,6.7,413,6.995124542556958
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,353326,10.82,5,2,5,08,4,2016,11472454,108,The Man Who Knew Infinity,7.2,625,7.004878048780488
20000000,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,346808,7.021,3,2,6,01,8,2015,133332,96,Momentum,5.8,256,6.987836553690212
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,290637,6.997,2,1,3,16,9,2015,2160298,94,Pay the Ghost,5.2,358,6.974587901254042
0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,244458,7.234,3,2,7,19,1,2014,0,101,The Voices,6.2,837,6.97408367844564
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308504,8.635,4,1,5,03,4,2015,3643591,115,Last Knights,6.3,502,6.986220688573446
11000000,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,282984,8.277,3,1,5,17,7,2015,27391084,95,Irrational Man,6.4,1036,6.976125364879398
15000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,157843,5.43,3,2,4,03,9,2015,0,128,Queen of the Desert,6,127,6.994945675966092
18000000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,275601,5.932,3,1,5,10,7,2015,41325328,100,Ricki and the Flash,5.8,444,6.979059896242729
0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,290762,5.086,2,1,6,12,9,2015,0,112,Miss You Already,7.4,388,7.006113124310698
630019,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251516,7.273,1,1,5,22,5,2015,0,31,Kung Fury,7.5,1098,7.021036094719902
12000000,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,304372,6.129,1,1,5,11,9,2015,60273173,100,The Perfect Guy,5.6,203,6.988723564655001
0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,324807,4.936,7,2,4,26,11,2015,7545758,125,A Bigger Splash,6.2,337,6.9893594348186445
