Name
Yorgos Lanthimos
Werner Herzog
José Padilha
John Hughes
James Whale
Mike Figgis
Emile Ardolino
Asif Kapadia
Kirsten Sheridan
Richard Glatzer
George Tillman Jr.
Tarsem Singh
Chris Noonan
Michael Apted
Walter Salles
Roland Joffé
Michael Showalter
Philip Kaufman
Lukas Moodysson
Karan Johar
James Ivory
Otto Preminger
Penny Marshall
Dennis Gansel
Arthur Penn
Jim Sharman
Morgan Spurlock
John Curran
Charles Laughton
Ken Loach
Mike Binder
George A. Romero
John Boorman
James Foley
John Hamburg
Jon Amiel
Neil Jordan
Ashutosh Gowariker
Gurinder Chadha
Ava DuVernay
Phil Alden Robinson
John Maybury
Russell Mulcahy
Buster Keaton
Bruce Beresford
Billy Bob Thornton
Grant Heslov
Richard Eyre
Vincent Ward
Marjane Satrapi
Vincent Paronnaud
Justin Chadwick
Richard Ayoade
Dennis Hopper
Fatih Akin
Olivier Dahan
Denzel Washington
Benh Zeitlin
Tim Robbins
Peter Bogdanovich
Nicholas Ray
P.J. Hogan
Henry Alex Rubin
Jim Henson
Ruben Östlund
Saul Dibb
Cary Joji Fukunaga
Susanne Bier
Andrey Zvyagintsev
Niki Caro
Mike Mills
Nuri Bilge Ceylan
Mimi Leder
Mark Waters
Bobcat Goldthwait
Daniel Barber
Ryan Fleck
Herbert Ross
Tobe Hooper
Malik Bendjelloul
Shane Carruth
Vadim Perelman
James Gray
Charlie Kaufman
John Milius
Mikael Håfström
Steven Shainberg
Jane Campion
Robert Rossen
Todd Solondz
Gregor Jordan
Mick Jackson
Emile Ardolino
Peter Webber
Christine Jeffs
Daniel Monzón
Lewis Milestone
Ari Folman
Ryan Murphy
Cristian Mungiu
Ernest B. Schoedsack
Merian C. Cooper
Bill Condon
Robert Wiene
Gaspar Noé
Atom Egoyan
John McNaughton
Pablo Larraín
Sergei M. Eisenstein
Andrea Arnold
Jeremiah S. Chechik
Mark Tonderai
David Zucker
Christophe Barratier
Jean-Luc Godard
Liev Schreiber
Gillo Pontecorvo
Jonathan Glazer
Nicole Holofcener
Karyn Kusama
Gavin Hood
Majid Majidi
Robert Lorenz
Laura Poitras
Rowan Joffe
Yôjirô Takita
Guillaume Canet
Brian Levant
Christopher Morris
Xavier Dolan
Yasujirô Ozu
Leo McCarey
Cecil B. DeMille
Peter Yates
Peter Faiman
Takashi Miike
Scott Hicks
Jodie Foster
Jocelyn Moorhouse
Henry Koster
Timo Vuorensola
Carl Theodor Dreyer
Nicholas Jarecki
John Cameron Mitchell
Nick Murphy
Ramesh Sippy
Sacha Gervasi
Jean-Pierre Dardenne
Luc Dardenne
Tom Dey
Joby Harold
Ted Post
Steve Antin
Anders Thomas Jensen
Justin Kurzel
Ben Lewin
Andrew Jarecki
Dominic Sena
Jamie Uys
Ron Underwood
J. Lee Thompson
Frank Marshall
Yann Demange
Felix van Groeningen
Danis Tanovic
Nicolas Roeg
Neil Armfield
Michelangelo Antonioni
Sebastian Schipper
Tod Browning
Vincent Gallo
Jee-woon Kim
Jean-Pierre Melville
Ritesh Batra
Michael Cristofer
Kenneth Branagh
Moustapha Akkad
Danny DeVito
Floria Sigismondi
Charles Shyer
Lawrence Kasdan
Jeannot Szwarc
Sean Durkin
Nikolaj Arcel
Armando Iannucci
Pawel Pawlikowski
Hugh Hudson
David Schwimmer
Luis Buñuel
Joachim Rønning
Espen Sandberg
Baran bo Odar
László Nemes
Emilio Estevez
Gillian Armstrong
Tony Goldwyn
Richard Brooks
Maren Ade
Henry Hathaway
Wayne Wang
Florian Gallenberger
François Ozon
Audrey Wells
Brian G. Hutton
Michael Radford
Michael Crichton
Gary Sinise
Mike Leigh
George Seaton
Ronald Neame
Jean-François Richet
Richard Fleischer
Peter Collinson
Jonas Åkerlund
Rod Lurie
Uli Edel
Peter Greenaway
